github_username, repository_url
s2t2, https://github.com/s2t2/exec-dash-starter-py/blob/master/monthly_sales.py
s2t2, https://github.com/s2t2/exec-dash-starter-py/blob/master/monthly_sales_alt.py
s2t2, https://github.com/s2t2/exec-dash-starter-py/tree/testing
..., ...
